dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari_A,nmi_A,accuracy_A,macro_f1_A,ari_B,nmi_B,accuracy_B,macro_f1_B,ari_diff,ari_rel_diff,nmi_diff,nmi_rel_diff,accuracy_diff,accuracy_rel_diff,macro_f1_diff,macro_f1_rel_diff
noise0_shift2,kmeans,Y,N,N,N,N,N,N,N,0.2160866879069256,0.4525462685919013,0.38,0.3282762052525751,0.2160866879069256,0.4525462685919013,0.38,0.3282762052525751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,maxmin,Y,N,N,N,N,N,N,N,0.1271168400768321,0.3625286598015617,0.319,0.2504156619001468,0.1271168400768321,0.3625286598015617,0.319,0.2504156619001468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,agglomerative,Y,N,N,N,N,N,N,N,0.2159152044288703,0.4782840328258994,0.376,0.2784493899840256,0.2159152044288703,0.4782840328258994,0.376,0.2784493899840256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,kmeans,N,Y,N,N,N,N,N,N,0.1757004097504556,0.4052883900882781,0.394,0.3253072592879219,0.1757004097504556,0.4052883900882781,0.394,0.3253072592879219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,maxmin,N,Y,N,N,N,N,N,N,0.1285483851026804,0.3187692842048368,0.342,0.2689844201813414,0.1285483851026804,0.3187692842048368,0.342,0.2689844201813414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,agglomerative,N,Y,N,N,N,N,N,N,0.1718861904631987,0.4172754945500865,0.383,0.2950678304553099,0.1718861904631987,0.4172754945500865,0.383,0.2950678304553099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,kmeans,N,N,Y,N,N,N,N,N,0.2840356243796648,0.4894074659217126,0.472,0.4316947876670191,0.2840356243796648,0.4894074659217126,0.472,0.4316947876670191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,maxmin,N,N,Y,N,N,N,N,N,0.1819102202987334,0.4112268773167015,0.425,0.3836280870793893,0.1819102202987334,0.4112268773167015,0.425,0.3836280870793893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,agglomerative,N,N,Y,N,N,N,N,N,0.2929846674915615,0.5402733175845256,0.505,0.4585835285907348,0.2929846674915615,0.5402733175845256,0.505,0.4585835285907348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,kmeans,N,N,N,Y,N,N,N,N,0.2676886248762301,0.4695032640608357,0.454,0.4006163349601963,0.2676886248762301,0.4695032640608357,0.454,0.4006163349601963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
