dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari,nmi,accuracy,macro_f1
noise0_shift2,maxmin,Y,N,N,N,N,N,N,N,0.12711684007683213,0.36252865980156174,0.319,0.2504156619001468
noise0_shift2,maxmin,N,Y,N,N,N,N,N,N,0.1285483851026804,0.31876928420483686,0.342,0.2689844201813414
noise0_shift2,maxmin,N,N,Y,N,N,N,N,N,0.18191022029873347,0.41122687731670154,0.425,0.3836280870793893
noise0_shift2,maxmin,N,N,N,Y,N,N,N,N,0.2261817914041209,0.4488655219435885,0.432,0.391682199071975
noise0_shift2,maxmin,N,N,N,N,Y,N,N,N,0.11176739354842107,0.29833320991256806,0.331,0.2873418383382199
noise0_shift2,maxmin,N,N,N,N,N,Y,N,N,1.0,1.0,1.0,1.0
noise0_shift2,maxmin,N,N,N,N,N,N,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,maxmin,Y,Y,N,N,N,N,N,N,0.15777054702804288,0.36040588990509653,0.346,0.29845747306408255
noise0_shift2,maxmin,Y,N,Y,N,N,N,N,N,0.2576689747566787,0.47783048908680104,0.458,0.4048757958080961
noise0_shift2,maxmin,Y,N,N,Y,N,N,N,N,0.2261817914041209,0.4488655219435885,0.432,0.391682199071975
noise0_shift2,maxmin,Y,N,N,N,Y,N,N,N,0.11337525313895197,0.31111013211981453,0.363,0.3481816716228585
noise0_shift2,maxmin,Y,N,N,N,N,Y,N,N,0.6253012333020824,0.8427414885781572,0.778,0.727363188863033
noise0_shift2,maxmin,Y,N,N,N,N,N,Y,N,0.3425294897564552,0.5882981876700916,0.518,0.4672191273385128
noise0_shift2,maxmin,N,Y,Y,N,N,N,N,N,0.1970572985262434,0.408104296859637,0.405,0.34852904489243997
noise0_shift2,maxmin,N,Y,N,Y,N,N,N,N,0.19638408373903815,0.40039279435250186,0.41,0.3681212720308826
noise0_shift2,maxmin,N,Y,N,N,Y,N,N,N,0.11614277039217745,0.3028010553894903,0.346,0.27974851089887126
noise0_shift2,maxmin,N,Y,N,N,N,Y,N,N,0.17215361200122406,0.3783814517398191,0.374,0.32876999656135075
noise0_shift2,maxmin,N,Y,N,N,N,N,Y,N,0.1698955609181259,0.3837101223889156,0.37,0.3250649915313228
noise0_shift2,maxmin,N,N,Y,Y,N,N,N,N,0.22304185499398615,0.4413406155062834,0.419,0.3684352862433904
noise0_shift2,maxmin,N,N,Y,N,Y,N,N,N,0.16257215759125776,0.3718445641526239,0.364,0.31420478783249456
noise0_shift2,maxmin,N,N,Y,N,N,Y,N,N,0.2509327785926616,0.5299390840586737,0.475,0.3749278601441879
noise0_shift2,maxmin,N,N,Y,N,N,N,Y,N,0.263480169796797,0.48641378952917236,0.466,0.4068956391579405
noise0_shift2,maxmin,N,N,N,Y,Y,N,N,N,0.17725778968646663,0.3974361992004873,0.39,0.377883351235722
noise0_shift2,maxmin,N,N,N,Y,N,Y,N,N,0.22729484375281375,0.46083158773216537,0.446,0.39754615405873717
noise0_shift2,maxmin,N,N,N,Y,N,N,Y,N,0.2284746984966667,0.45371000406785617,0.436,0.3944196393163604
noise0_shift2,maxmin,N,N,N,N,Y,Y,N,N,0.2666172372391296,0.5339260619993266,0.514,0.4686762220401072
noise0_shift2,maxmin,N,N,N,N,Y,N,Y,N,0.12834374544517316,0.350639205850306,0.372,0.353109645405932
noise0_shift2,maxmin,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
