dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari,nmi,accuracy,macro_f1
noise0_shift2,kmeans,Y,N,N,N,N,N,N,N,0.21608668790692562,0.45254626859190134,0.38,0.32827620525257517
noise0_shift2,maxmin,Y,N,N,N,N,N,N,N,0.12711684007683213,0.36252865980156174,0.319,0.2504156619001468
noise0_shift2,agglomerative,Y,N,N,N,N,N,N,N,0.21591520442887038,0.4782840328258994,0.376,0.27844938998402563
noise0_shift2,kmeans,N,Y,N,N,N,N,N,N,0.17570040975045562,0.40528839008827816,0.394,0.3253072592879219
noise0_shift2,maxmin,N,Y,N,N,N,N,N,N,0.1285483851026804,0.31876928420483686,0.342,0.2689844201813414
noise0_shift2,agglomerative,N,Y,N,N,N,N,N,N,0.17188619046319875,0.41727549455008656,0.383,0.29506783045530993
noise0_shift2,kmeans,N,N,Y,N,N,N,N,N,0.28403562437966484,0.4894074659217126,0.472,0.4316947876670191
noise0_shift2,maxmin,N,N,Y,N,N,N,N,N,0.18191022029873347,0.41122687731670154,0.425,0.3836280870793893
noise0_shift2,agglomerative,N,N,Y,N,N,N,N,N,0.29298466749156155,0.5402733175845256,0.505,0.4585835285907348
noise0_shift2,kmeans,N,N,N,Y,N,N,N,N,0.26768862487623013,0.4695032640608357,0.454,0.40061633496019633
noise0_shift2,maxmin,N,N,N,Y,N,N,N,N,0.2261817914041209,0.4488655219435885,0.432,0.391682199071975
noise0_shift2,agglomerative,N,N,N,Y,N,N,N,N,0.2576380537814968,0.48771033533055635,0.448,0.39756658713620785
noise0_shift2,kmeans,N,N,N,N,Y,N,N,N,0.12766453203169922,0.29274189311977483,0.335,0.29277553532894934
noise0_shift2,maxmin,N,N,N,N,Y,N,N,N,0.11176739354842107,0.29833320991256806,0.331,0.2873418383382199
noise0_shift2,agglomerative,N,N,N,N,Y,N,N,N,0.12699081253840233,0.2953664722206535,0.347,0.3077167879288961
noise0_shift2,kmeans,N,N,N,N,N,Y,N,N,1.0,1.0,1.0,1.0
noise0_shift2,maxmin,N,N,N,N,N,Y,N,N,1.0,1.0,1.0,1.0
noise0_shift2,agglomerative,N,N,N,N,N,Y,N,N,1.0,1.0,1.0,1.0
noise0_shift2,kmeans,N,N,N,N,N,N,Y,N,1.0,1.0,1.0,1.0
