dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari,nmi,accuracy,macro_f1
noise0_shift2,kmeans,Y,N,N,N,N,N,N,N,0.22534920206923764,0.48488087985198003,0.419,0.38797781084704713
noise0_shift2,maxmin,Y,N,N,N,N,N,N,N,0.1439580100524103,0.40466620344224025,0.387,0.32029148893068027
noise0_shift2,agglomerative,Y,N,N,N,N,N,N,N,0.3628943718701469,0.581943218466668,0.528,0.5073040468632735
noise0_shift2,kmeans,N,Y,N,N,N,N,N,N,0.1730517889915144,0.3697812550849292,0.352,0.29340502747569347
noise0_shift2,maxmin,N,Y,N,N,N,N,N,N,0.11998821346452777,0.33927810672397013,0.34,0.22489743329612377
noise0_shift2,agglomerative,N,Y,N,N,N,N,N,N,0.13900032566988485,0.3403772320383476,0.345,0.2702146231391581
noise0_shift2,kmeans,N,N,Y,N,N,N,N,N,0.06983730612884106,0.20233744318977429,0.281,0.18716745335166263
noise0_shift2,maxmin,N,N,Y,N,N,N,N,N,0.017596615774201685,0.19904178408386977,0.221,0.1840025026401331
noise0_shift2,agglomerative,N,N,Y,N,N,N,N,N,0.08635173256286238,0.27549747841194605,0.294,0.21312747592329143
noise0_shift2,kmeans,N,N,N,Y,N,N,N,N,0.1961781597549692,0.3584676657246039,0.392,0.31573160048073173
noise0_shift2,maxmin,N,N,N,Y,N,N,N,N,0.0030826381679015837,0.11719845553168017,0.168,0.13432988317116046
noise0_shift2,agglomerative,N,N,N,Y,N,N,N,N,0.22271207983556385,0.41803475363653875,0.397,0.3329276731866332
noise0_shift2,kmeans,N,N,N,N,Y,N,N,N,0.27814315925812416,0.4727830621944372,0.463,0.41535588136574864
noise0_shift2,maxmin,N,N,N,N,Y,N,N,N,0.14637551046203204,0.4321743381740959,0.442,0.38304902465129365
noise0_shift2,agglomerative,N,N,N,N,Y,N,N,N,0.30519322911046703,0.5409149378640277,0.467,0.42573792963372614
noise0_shift2,kmeans,N,N,N,N,N,Y,N,N,1.0,1.0,1.0,1.0
noise0_shift2,maxmin,N,N,N,N,N,Y,N,N,1.0,1.0,1.0,1.0
noise0_shift2,agglomerative,N,N,N,N,N,Y,N,N,1.0,1.0,1.0,1.0
noise0_shift2,kmeans,N,N,N,N,N,N,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,maxmin,N,N,N,N,N,N,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,agglomerative,N,N,N,N,N,N,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,kmeans,Y,Y,N,N,N,N,N,N,0.23874268317845987,0.4708024781239246,0.454,0.4391434256237788
noise0_shift2,maxmin,Y,Y,N,N,N,N,N,N,0.15628162143605,0.40510402689634545,0.383,0.30530554086090084
noise0_shift2,agglomerative,Y,Y,N,N,N,N,N,N,0.32965706900863323,0.5813788334730446,0.5,0.4783322941926663
noise0_shift2,kmeans,Y,N,Y,N,N,N,N,N,0.29535706820263685,0.5194035797746885,0.478,0.425618870889845
noise0_shift2,maxmin,Y,N,Y,N,N,N,N,N,0.048906465029829926,0.2748331461732069,0.258,0.17985632045617925
noise0_shift2,agglomerative,Y,N,Y,N,N,N,N,N,0.30445821685802327,0.5582996292060397,0.473,0.4408636827220117
noise0_shift2,kmeans,Y,N,N,Y,N,N,N,N,0.18648139677884668,0.4349644573241538,0.405,0.36937005009523505
noise0_shift2,maxmin,Y,N,N,Y,N,N,N,N,0.03603589374393935,0.22070001944835702,0.225,0.13722067339454347
noise0_shift2,agglomerative,Y,N,N,Y,N,N,N,N,0.26082413880050725,0.5265848220922621,0.445,0.43402239066808807
noise0_shift2,kmeans,Y,N,N,N,Y,N,N,N,0.2820300609352697,0.5077993669844357,0.462,0.4407321328857381
noise0_shift2,maxmin,Y,N,N,N,Y,N,N,N,0.14314871845307606,0.4155343805475791,0.392,0.3204464339969515
noise0_shift2,agglomerative,Y,N,N,N,Y,N,N,N,0.42173089091571486,0.6465896731796063,0.547,0.5012287161787885
noise0_shift2,kmeans,Y,N,N,N,N,Y,N,N,0.39420816921836893,0.6372172896472675,0.547,0.5334974298233657
noise0_shift2,maxmin,Y,N,N,N,N,Y,N,N,0.15644396911100764,0.41363581439272595,0.425,0.37368476981549553
noise0_shift2,agglomerative,Y,N,N,N,N,Y,N,N,0.4213892803544318,0.6593165151707131,0.559,0.5266671117311327
noise0_shift2,kmeans,Y,N,N,N,N,N,Y,N,0.278885615938901,0.5462571256363777,0.463,0.41434475528436315
noise0_shift2,maxmin,Y,N,N,N,N,N,Y,N,0.13317186618312413,0.4119768297725095,0.347,0.2709423189472083
noise0_shift2,agglomerative,Y,N,N,N,N,N,Y,N,0.43604309891386733,0.648886845802163,0.562,0.5361318789249457
noise0_shift2,kmeans,N,Y,Y,N,N,N,N,N,0.11871433186174223,0.2666906790996978,0.318,0.28911491946444784
noise0_shift2,maxmin,N,Y,Y,N,N,N,N,N,0.007051334303193338,0.15359230957021902,0.2,0.17610547448418518
noise0_shift2,agglomerative,N,Y,Y,N,N,N,N,N,0.12070104713892663,0.29816314913593617,0.351,0.3047531282540679
noise0_shift2,kmeans,N,Y,N,Y,N,N,N,N,0.17516460671230735,0.3651301020268311,0.342,0.29851705154869035
noise0_shift2,maxmin,N,Y,N,Y,N,N,N,N,0.004694579953475435,0.12648580913566157,0.178,0.14215735566743776
noise0_shift2,agglomerative,N,Y,N,Y,N,N,N,N,0.12872149284731027,0.3424991377617178,0.334,0.30043584385130895
noise0_shift2,kmeans,N,Y,N,N,Y,N,N,N,0.2861877509893848,0.5099354897439083,0.492,0.4143214432526336
noise0_shift2,maxmin,N,Y,N,N,Y,N,N,N,0.1539041838396213,0.3536564275707168,0.378,0.3006412062760862
noise0_shift2,agglomerative,N,Y,N,N,Y,N,N,N,0.2443244000214865,0.47878891147281943,0.455,0.3950970229472544
noise0_shift2,kmeans,N,Y,N,N,N,Y,N,N,0.5228396964813042,0.7391145390781612,0.641,0.6129562482730038
noise0_shift2,maxmin,N,Y,N,N,N,Y,N,N,0.37609939758665695,0.609572412107541,0.554,0.5018096101320184
noise0_shift2,agglomerative,N,Y,N,N,N,Y,N,N,0.5559446527577445,0.7534261574938248,0.663,0.6383433674862465
noise0_shift2,kmeans,N,Y,N,N,N,N,Y,N,0.38555007046626094,0.6023273146011033,0.526,0.47052526210059664
noise0_shift2,maxmin,N,Y,N,N,N,N,Y,N,0.22396318280571073,0.4654391299333018,0.445,0.3642000225797208
noise0_shift2,agglomerative,N,Y,N,N,N,N,Y,N,0.3872380078582648,0.6260704999299088,0.531,0.48360694755794154
noise0_shift2,kmeans,N,N,Y,Y,N,N,N,N,0.16443881431800744,0.3308915592770741,0.375,0.3145658582503679
noise0_shift2,maxmin,N,N,Y,Y,N,N,N,N,0.0035893954455267457,0.12293209180577035,0.17,0.1384639726927913
noise0_shift2,agglomerative,N,N,Y,Y,N,N,N,N,0.15954022409348229,0.35157092554326036,0.352,0.27162853158692485
noise0_shift2,kmeans,N,N,Y,N,Y,N,N,N,0.19809100817834654,0.40162507557391225,0.381,0.35804409128654463
noise0_shift2,maxmin,N,N,Y,N,Y,N,N,N,0.02662534216328594,0.2218683981623223,0.237,0.19497024640894603
noise0_shift2,agglomerative,N,N,Y,N,Y,N,N,N,0.25576376200111556,0.4920510711934977,0.436,0.383905836655567
noise0_shift2,kmeans,N,N,Y,N,N,Y,N,N,0.48098876187316675,0.7335573855605354,0.637,0.6107004430814749
noise0_shift2,maxmin,N,N,Y,N,N,Y,N,N,0.03364154168030957,0.24360875098000545,0.255,0.2254196527541777
noise0_shift2,agglomerative,N,N,Y,N,N,Y,N,N,0.5075183519496328,0.7445942981695824,0.591,0.5223379777840805
noise0_shift2,kmeans,N,N,Y,N,N,N,Y,N,0.25958430096193386,0.4942708185300078,0.433,0.39588668109861114
noise0_shift2,maxmin,N,N,Y,N,N,N,Y,N,0.02476676723137619,0.21735661021926508,0.232,0.18800274423306534
noise0_shift2,agglomerative,N,N,Y,N,N,N,Y,N,0.24814623215965625,0.5094864641219246,0.406,0.34645434956346666
noise0_shift2,kmeans,N,N,N,Y,Y,N,N,N,0.23550335529947783,0.4088986382465516,0.414,0.366476489198591
noise0_shift2,maxmin,N,N,N,Y,Y,N,N,N,0.009679256559518396,0.16000089880076715,0.191,0.16222739061257205
noise0_shift2,agglomerative,N,N,N,Y,Y,N,N,N,0.23982457303829613,0.4745169519743624,0.423,0.40403878828122597
noise0_shift2,kmeans,N,N,N,Y,N,Y,N,N,0.38576144890735686,0.5996782408595359,0.489,0.4219812808180173
noise0_shift2,maxmin,N,N,N,Y,N,Y,N,N,0.011367568070023553,0.16749358813000947,0.195,0.16600912913825586
noise0_shift2,agglomerative,N,N,N,Y,N,Y,N,N,0.3998699670472681,0.6460774657534465,0.515,0.4588609490260828
noise0_shift2,kmeans,N,N,N,Y,N,N,Y,N,0.21562680375562054,0.39804304915208916,0.381,0.33220843047103255
noise0_shift2,maxmin,N,N,N,Y,N,N,Y,N,0.0059228766100569855,0.14015698032662877,0.18,0.15069093133925243
noise0_shift2,agglomerative,N,N,N,Y,N,N,Y,N,0.28179125853106546,0.5387067750401051,0.44,0.39394096459823247
noise0_shift2,kmeans,N,N,N,N,Y,Y,N,N,0.7577650531999796,0.8927381220430153,0.852,0.8193351366984807
noise0_shift2,maxmin,N,N,N,N,Y,Y,N,N,0.47545795933285717,0.7415485633977446,0.656,0.60038919990167
noise0_shift2,agglomerative,N,N,N,N,Y,Y,N,N,0.8504617166918665,0.9309407809327069,0.911,0.906267602267109
noise0_shift2,kmeans,N,N,N,N,Y,N,Y,N,0.5324329423478736,0.7123970142886563,0.69,0.6699662322337845
noise0_shift2,maxmin,N,N,N,N,Y,N,Y,N,0.20752447918508038,0.53263128360093,0.508,0.45035383919041755
noise0_shift2,agglomerative,N,N,N,N,Y,N,Y,N,0.4637518576680613,0.684587578255647,0.599,0.5789392716046183
noise0_shift2,kmeans,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,maxmin,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,agglomerative,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,kmeans,Y,Y,Y,N,N,N,N,N,0.21264620176574361,0.4491360116845494,0.405,0.38683135306054994
noise0_shift2,maxmin,Y,Y,Y,N,N,N,N,N,0.08162238180466613,0.28849201800780927,0.279,0.21506768635948642
noise0_shift2,agglomerative,Y,Y,Y,N,N,N,N,N,0.3066406057660813,0.5654826750748058,0.461,0.3984236427975442
noise0_shift2,kmeans,Y,Y,N,Y,N,N,N,N,0.21749420645557002,0.4392345793278288,0.393,0.37487928227972633
noise0_shift2,maxmin,Y,Y,N,Y,N,N,N,N,0.036250360703793776,0.18757682973812959,0.224,0.1483678728489745
noise0_shift2,agglomerative,Y,Y,N,Y,N,N,N,N,0.2322777314408682,0.502847315780095,0.454,0.41512447446607803
noise0_shift2,kmeans,Y,Y,N,N,Y,N,N,N,0.27141120501000365,0.49497283076766824,0.446,0.44630977752992107
noise0_shift2,maxmin,Y,Y,N,N,Y,N,N,N,0.1089327693003162,0.37620734350429963,0.349,0.25234516615525976
noise0_shift2,agglomerative,Y,Y,N,N,Y,N,N,N,0.27748871906709055,0.5092503123144563,0.454,0.39692235947636945
noise0_shift2,kmeans,Y,Y,N,N,N,Y,N,N,0.37068339054728605,0.6041797110832267,0.543,0.5223448829905635
noise0_shift2,maxmin,Y,Y,N,N,N,Y,N,N,0.15252630698777178,0.4226448969879854,0.404,0.3156309552024024
